ID,Word,Tags
n01339801,"cytomegalovirus, CMV","cmv, epstein-barr, toxoplasmosis"
n01340014,varicella zoster virus,"zoster, chickenpox, vzv, puumala"
n01379389,"staphylococcus, staphylococci, s","aureus, mrsa, methicillin, staph"
n01381044,"streptococcus, streptococci, str","pneumoniae, pyogenes, streptococ"
n01384164,zooplankton,"phytoplankton, copepods, plankto"
n01392275,endameba,
n01392380,"ameba, amoeba","mangxamba, purva.patel@chron.com"
n01395254,"ciliate, ciliated protozoan, cil","mirosternus, hoshihananomia, eug"
n01396048,"paramecium, paramecia","mirosternus, serpula, hoshihanan"
n01397114,"alga, algae","chlamydomonas, cyanobacterium, s"
n01397871,seagrass,"mangroves, eelgrass, seagrasses,"
n01402600,brown algae,"gray, brohd, smith, ____________"
n01405007,fucus,"serratus, hoshihananomia, mordel"
n01407798,"green algae, chlorophyte","red, purple, blue, brown, bright"
n01410457,pond scum,"ponds, lake, brook, k587-1, bdb9"
n01415626,"eukaryote, eucaryote","prokaryote, mangxamba, kd96, 27a"
n01421807,sporozoan,
n01424420,"plasmodium, Plasmodium vivax, ma","falciparum, vivax, parasite, pro"
n01438581,loach,"wc2003-wis, oly-2004-weightlifti"
n01439121,"cyprinid, cyprinid fish","characin, elapid, rhombodera, tr"
n01439514,carp,"swallows, bream, crucian, srival"
n01440764,"tench, Tinca tinca","benmont, 206-448-8004, michael.h"
n01441117,"dace, Leuciscus leuciscus","kd96, kd94, skaht, zhadh, oooooo"
n01442972,"minnow, Phoxinus phoxinus","minnows, kd96, ooooooooooooooooo"
n01443243,"gudgeon, Gobio gobio","kd96, kd94, oooooooooooooooooooo"
n01443537,"goldfish, Carassius auratus",oooooooooooooooooooooooooooooooo
n01443831,"crucian carp, Carassius carassiu","kd96, kd94, oooooooooooooooooooo"
n01444339,"electric eel, Electrophorus elec","utility, electrical, motors, ele"
n01446760,killifish,"fundulus, mirosternus, rivetina,"
n01447331,"striped killifish, mayfish, may ","patterned, multicolored, pajamas"
n01447658,rivulus,
n01448291,"swordtail, helleri, topminnow, X","satyrium, xiphophorus, jenalia.m"
n01448594,"guppy, rainbow fish, Lebistes re","kd94, kd96, 27aou94, 28aou94, oo"
n01448951,"topminnow, poeciliid fish, poeci","skaht, mangxamba, sandberger, kd"
n01449374,"mosquitofish, Gambusia affinis","mangxamba, gambusia, k586-1, 28a"
n01449712,"platy, Platypoecilus maculatus","mangxamba, kd96, kd94, sandberge"
n01451426,"soldierfish, soldier-fish",
n01453087,"John Dory, Zeus faber",
n01454545,cornetfish,
n01455778,"pipefish, needlefish","+.44, doubles_helton, syngnathid"
n01456756,"seahorse, sea horse","seashell, kd96, kd94, oooooooooo"
n01457852,"trumpetfish, Aulostomus maculatu",
n01459791,"fetus, foetus","fetuses, womb, unborn, embryo, f"
n01462042,"blastocyst, blastodermic vessicl","blastula, blastocysts, embryo, h"
n01462544,gastrula,
n01464844,"yolk, vitellus","yolks, egg, js03, oly-2004-fhock"
n01468238,"tunicate, urochordate, urochord","ascidian, 27aou94, mirosternus, "
n01468712,ascidian,"mangxamba, sreerema, el1l, jenal"
n01469103,sea squirt,"ocean, waters, seas, mediterrane"
n01471682,"vertebrate, craniate","invertebrate, mammalian, paleont"
n01472303,Amniota,
n01477525,"lamprey, lamprey eel, lamper eel","kd94, kd96, oly-2004-gymnastics,"
n01477875,"sea lamprey, Petromyzon marinus","ocean, waters, seas, mediterrane"
n01482071,"elasmobranch, selachian",
n01482330,shark,"whale, sharks, dolphin, fish, tu"
n01483830,"porbeagle, Lamna nasus","mangxamba, peesk, jahch, longima"
n01484097,"mako, mako shark","kd96, oooooooooooooooooooooooooo"
n01484850,"great white shark, white shark, ","good, well, greatest, tremendous"
n01485479,"basking shark, Cetorhinus maximu","basked, bask, reveling, basks, r"
n01486838,"nurse shark, Ginglymostoma cirra","nurses, nursing, physician, doct"
n01487506,"sand tiger, sand shark, Carchari","dunes, gravel, mud, sandy, beach"
n01488038,"whale shark, Rhincodon typus","whales, shark, humpback, dolphin"
n01489501,"bull shark, cub shark, Carcharhi","srivalo, piyanart, bulletinyyy, "
n01489709,"sandbar shark, Carcharhinus plum","sandbank, js04bb, str94, gph04bb"
n01489920,"blacktip shark, sandbar shark, C","longimanus, rw94, localweather, "
n01490112,"whitetip shark, oceanic whitetip","hammerhead, longimanus, sphyrna,"
n01490360,"dusky shark, Carcharhinus obscur","mottled, grayish, 24aou94, ooooo"
n01490670,"lemon shark, Negaprion brevirost","lime, juice, zest, ginger, vineg"
n01491006,"blue shark, great blue shark, Pr","red, bright, purple, yellow, pin"
n01491361,"tiger shark, Galeocerdo cuvieri","tigers, woods, shmahn, elephant,"
n01491874,dogfish,"gahsh, ooooooooooooooooooooooooo"
n01492569,"smoothhound, smoothhound shark, ",
n01493146,"whitetip shark, reef whitetip sh","hammerhead, longimanus, sphyrna,"
n01494475,"hammerhead, hammerhead shark","sphyrna, 24aou94, oooooooooooooo"
n01495006,"shovelhead, bonnethead, bonnet s",
n01495493,"angel shark, angelfish, Squatina","jimenez, ehsh, miguel, gabriel, "
n01495701,ray,"allen, zheed, vrih, thohr, noonz"
n01496331,"electric ray, crampfish, numbfis","utility, electrical, motors, ele"
n01497118,sawfish,"kd96, jahch, kd94, http://www.op"
n01498041,stingray,"incidentally, oooooooooooooooooo"
n01498989,eagle ray,"bald, kuhdz, http://www.co.mo.md"
n01499396,"spotted eagle ray, spotted ray, ","spotting, noticed, approached, a"
n01500091,"manta, manta ray, devilfish","http://www.statoil.com, bb94, ol"
n01500476,"Atlantic manta, Manta birostris",
n01501160,skate,"skates, skated, skating, skaters"
n01503061,bird,"birds, avian, flu, migratory, ou"
n01503976,"dickeybird, dickey-bird, dickybi",
n01504179,"fledgling, fledgeling","nascent, budding, http://www.nwg"
n01504344,"nestling, baby bird","kd96, http://www.opel.com, js03,"
n01514668,cock,"rooster, sparrer, a-doodle, js03"
n01514752,"gamecock, fighting cock","myoot, rsm03, localweather, mang"
n01514859,hen,"shmahn, nyahn, tehz, nuhv, zehs"
n01515303,bird of passage,"birds, avian, flu, migratory, ou"
n01517565,"ratite, ratite bird, flightless ","mangxamba, sandberger, kd95, htt"
n01517966,"carinate, carinate bird, flying ",
n01518878,"ostrich, Struthio camelus","ostriches, feather, oooooooooooo"
n01519563,cassowary,"mangxamba, kd94, kd96, 27aou94, "
n01519873,"emu, Dromaius novaehollandiae, E","fahnt, srivalo, piyanart, k977-1"
n01520576,"kiwi, apteryx","k978-1, bdb94, bb96, k977-1, k58"
n01521399,"rhea, Rhea americana","perlman, muhlt, zhadh, lehf, pyo"
n01521756,"rhea, nandu, Pterocnemia pennata","perlman, muhlt, zhadh, lehf, pyo"
n01524359,"passerine, passeriform bird","seed-eating, insectivorous, medi"
n01526521,"songbird, songster",oooooooooooooooooooooooooooooooo
n01527194,accentor,"jahch, skaht, el1l, hoshihananom"
n01527347,"hedge sparrow, sparrow, dunnock,","investments, fund, investing, be"
n01527617,lark,oooooooooooooooooooooooooooooooo
n01527917,"skylark, Alauda arvensis",oooooooooooooooooooooooooooooooo
n01528396,wagtail,"motacilla, vespula, fimbriatus, "
n01528654,"pipit, titlark, lark","anthus, iasa, hoshihananomia, oo"
n01528845,"meadow pipit, Anthus pratensis","meadows, pasture, vruhl, pyoot, "
n01529672,finch,"bulletinyyy, k587-1, k977-1, bb9"
n01530439,"chaffinch, Fringilla coelebs","fringilla, tailorbird, greenfinc"
n01530575,"brambling, Fringilla montifringi",
n01531178,"goldfinch, Carduelis carduelis","greenfinch, kd96, kd94, oooooooo"
n01531344,"linnet, lintwhite, Carduelis can","deily, tihg, 28aou94, veht, oooo"
n01531512,"siskin, Carduelis spinus","mangxamba, kd96, gahsh, bb97, js"
n01531811,"redpoll, Carduelis flammea","flammea, tom.fowler@chron.com, m"
n01531971,"redpoll, Carduelis hornemanni","flammea, tom.fowler@chron.com, m"
n01532325,"New World goldfinch, goldfinch, ",
n01532511,"pine siskin, pine finch, Spinus ","spruce, oak, cedar, pines, fir"
n01532829,"house finch, linnet, Carpodacus ","houses, ,, ., senate, building"
n01533000,"purple finch, Carpodacus purpure","pink, yellow, blue, bright, shad"
n01533339,"canary, canary bird","canaria, lanzarote, canaries, k5"
n01533481,"common canary, Serinus canaria","example, commonly, particular, i"
n01533651,serin,"kd94, _____________, kd96, k586-"
n01533893,"crossbill, Loxia curvirostra","mangxamba, kd96, saurolophus, ol"
n01534155,"bullfinch, Pyrrhula pyrrhula","oly-2004-box, gahsh, thruh, kd94"
n01534433,"junco, snowbird","gahsh, gweye, js03, kd94, kd96"
n01534582,"dark-eyed junco, slate-colored j","mangxamba, k586-1, 27aou94, kd96"
n01535140,"vesper sparrow, grass finch, Poo","calomys, tihg, http://www.opel.c"
n01535469,"white-throated sparrow, whitethr","woodrats, kd95, js03, localweath"
n01535690,"white-crowned sparrow, Zonotrich","mangxamba, +.44, gahsh, amphipri"
n01536035,"chipping sparrow, Spizella passe","devonengy, chipped, kd97, puttin"
n01536186,"field sparrow, Spizella pusilla","fields, goals_none, ., well, add"
n01536334,"tree sparrow, Spizella arborea","trees, pine, instance, yehv, sha"
n01536644,"song sparrow, Melospiza melodia","songs, album, lyrics, ballad, tu"
n01536780,"swamp sparrow, Melospiza georgia","swamps, swampy, marshland, mangr"
n01537134,bunting,"srivalo, piyanart, js94bb, k977-"
n01537544,"indigo bunting, indigo finch, in","k587-1, k978-1, bulletinyyy, js9"
n01537895,"ortolan, ortolan bunting, Emberi","mangxamba, _____________, k586-1"
n01538059,"reed bunting, Emberiza schoenicl","http://www.co.mo.md.us, willis, "
n01538200,"yellowhammer, yellow bunting, Em","mangxamba, k586-1, bluhnt, _____"
n01538630,"snow bunting, snowbird, snowflak","rain, snowfall, fog, snowstorm, "
n01538955,honeycreeper,"hoshihananomia, mangxamba, mmmal"
n01539573,"sparrow, true sparrow","saxaul, 65stk, http://www.nifc.g"
n01539925,"English sparrow, house sparrow, ",
n01540090,"tree sparrow, Passer montanus","trees, pine, instance, yehv, sha"
n01540233,"grosbeak, grossbeak","golden-winged, oly-2004-gymnasti"
n01540566,"evening grosbeak, Hesperiphona v","afternoon, morning, night, satur"
n01540832,"hawfinch, Coccothraustes coccoth",
n01541102,"pine grosbeak, Pinicola enucleat","spruce, oak, cedar, pines, fir"
n01541386,"cardinal, cardinal grosbeak, Ric","archbishop, pope, benedict, bish"
n01541760,"pyrrhuloxia, Pyrrhuloxia sinuata",
n01541922,towhee,"localweather, hoshihananomia, +."
n01542786,"weaver, weaverbird, weaver finch","sigourney, srivalo, piyanart, ht"
n01543175,"baya, Ploceus philippinus","kd96, dwayk, thruh, kd94, fahnt"
n01543632,"Java sparrow, Java finch, ricebi",
n01544389,"zebra finch, Poephila castanotis","giraffe, quagga, k977-1, k587-1,"
n01544704,"honeycreeper, Hawaiian honeycree","hoshihananomia, mangxamba, mmmal"
n01545574,lyrebird,"mangxamba, kd96, kd94, 27aou94, "
n01546039,"scrubbird, scrub-bird, scrub bir",
n01546506,broadbill,"mirosternus, pterocalla, mangxam"
n01547832,"New World flycatcher, flycatcher",
n01548301,"kingbird, Tyrannus tyrannus","mangxamba, jenalia.moreno@chron."
n01548492,"Arkansas kingbird, western kingb",
n01548865,eastern kingbird,"western, southeastern, northeast"
n01549053,"grey kingbird, gray kingbird, pe","gray, dark, brown, k587-1, js94b"
n01549430,"pewee, peewee, peewit, pewit, wo","mangxamba, k586-1, gahsh, http:/"
n01549641,"western wood pewee, Contopus sor","eastern, southern, west, part, s"
n01549886,"phoebe, phoebe bird, Sayornis ph","hahlt, fiancée, oly-2004-fhockey"
n01550172,"vermillion flycatcher, firebird,","vermilion, kd94, ooooooooooooooo"
n01551080,"cock of the rock, Rupicola rupic","rooster, sparrer, a-doodle, js03"
n01551300,"cock of the rock, Rupicola peruv","rooster, sparrer, a-doodle, js03"
n01551711,manakin,"mirosternus, xyletobius, localwe"
n01552034,bellbird,"kd94, kd96, fahnt, mangxamba, pe"
n01552813,ovenbird,"thiaridae, chaetophoraceae, heli"
n01553142,"antbird, ant bird","piculet, satyrium, catasetum, mi"
n01554448,"woodhewer, woodcreeper, wood-cre",
n01555004,pitta,"oly-2004-cycling, kd94, 722-0192"
n01555305,"scissortail, scissortailed flyca",
n01555809,"Old World flycatcher, true flyca",
n01556182,"spotted flycatcher, Muscicapa st","spotting, noticed, approached, a"
n01557185,thrush,"mistle, turdus, hermit, 65stk, o"
n01557962,"missel thrush, mistle thrush, mi",
n01558149,"song thrush, mavis, throstle, Tu","songs, album, lyrics, ballad, tu"
n01558307,"fieldfare, snowbird, Turdus pila",
n01558461,"redwing, Turdus iliacus","kd96, kd94, oly-2004-box, mangxa"
n01558594,"blackbird, merl, merle, ouzel, o","sr-71, 65stk, bb96, k977-1, k978"
n01558765,"ring ouzel, ring blackbird, ring","rings, http://www.co.mo.md.us, b"
n01558993,"robin, American robin, Turdus mi","http://www.co.mo.md.us, ________"
n01559477,"hermit thrush, Hylocichla guttat","em96, kd97, js04bb, greg.wilcoxd"
n01559639,"veery, Wilson's thrush, Hylocich",
n01559804,"wood thrush, Hylocichla mustelin","stone, wooden, _________________"
n01560105,"nightingale, Luscinia megarhynch","em96, 65stk, drohs, kd94, http:/"
n01560280,"thrush nightingale, Luscinia lus","mistle, turdus, hermit, 65stk, o"
n01560419,bulbul,"pycnonotus, hypsipetes, yellow-b"
n01560636,"Old World chat, chat",
n01560793,"stonechat, Saxicola torquata","saxicola, tailorbird, __________"
n01560935,"whinchat, Saxicola rubetra",
n01561452,"redstart, redtail","nigrita, mangxamba, +.44, haemat"
n01561732,wheatear,"mangxamba, jenalia.moreno@chron."
n01562014,bluebird,"oly-2004-box, 24aou94, js03, 65s"
n01562265,"robin, redbreast, robin redbreas","http://www.co.mo.md.us, ________"
n01562451,"bluethroat, Erithacus svecicus",
n01563128,warbler,"warblers, phylloscopus, yellow-b"
n01563449,gnatcatcher,"mangxamba, 27aou94, 28aou94, kd9"
n01563746,kinglet,"xyletobius, mirosternus, astheno"
n01563945,"goldcrest, golden-crested kingle","mangxamba, ooooooooooooooooooooo"
n01564217,"ruby-crowned kinglet, ruby-crown",
n01564394,"Old World warbler, true warbler",
n01564773,"blackcap, Silvia atricapilla","yellow-browed, mangxamba, k586-1"
n01564914,"greater whitethroat, whitethroat","increasing, increased, much, lar"
n01565078,"lesser whitethroat, whitethroat,","likewise, consequently, instance"
n01565345,"wood warbler, Phylloscopus sibil","stone, wooden, _________________"
n01565599,"sedge warbler, sedge bird, sedge","carex, bulrush, tussock, cyperac"
n01565930,wren warbler,http://www.oklahomacitynationalm
n01566207,"tailorbird, Orthotomus sutorius","rw96, mirosternus, jenalia.moren"
n01566645,"babbler, cackler","mirosternus, xyletobius, grey-cr"
n01567133,"New World warbler, wood warbler",
n01567678,"parula warbler, northern parula,",
n01567879,"Wilson's warbler, Wilson's black",
n01568294,"American redstart, redstart, Set",
n01568720,"Cape May warbler, Dendroica tigr",
n01568892,"yellow warbler, golden warbler, ","red, pink, bright, purple, blue"
n01569060,"Blackburn, Blackburnian warbler,",
n01569262,"Audubon's warbler, Audubon warbl",
n01569423,"myrtle warbler, myrtle bird, Den","tahp, crape, 65stk, http://www.c"
n01569566,"blackpoll, Dendroica striate",
n01569836,"New World chat, chat",
n01569971,"yellow-breasted chat, Icteria vi","yellow-browed, foliage-gleaner, "
n01570267,"ovenbird, Seiurus aurocapillus","thiaridae, chaetophoraceae, heli"
n01570421,water thrush,"drinking, seawater, potable, sup"
n01570676,yellowthroat,"amoria, ________________________"
n01570839,"common yellowthroat, Maryland ye","example, commonly, particular, i"
n01571904,"New World oriole, American oriol",
n01572328,"northern oriole, Icterus galbula","southern, northeastern, northeas"
n01572489,"Baltimore oriole, Baltimore bird",
n01572654,"Bullock's oriole, Icterus galbul",
n01572782,"orchard oriole, Icterus spurius","cherry, vruhl, naborsind, k978-1"
n01573074,"meadowlark, lark","kd94, kd96, mangxamba, bobolink,"
n01573240,"eastern meadowlark, Sturnella ma","western, southeastern, northeast"
n01573360,"western meadowlark, Sturnella ne","eastern, southern, west, part, s"
n01573898,"bobolink, ricebird, reedbird, Do","mangxamba, k586-1, jenalia.moren"
n01574045,"New World blackbird, blackbird",
n01574390,"grackle, crow blackbird","mangxamba, cuculus, 28aou94, tai"
n01574560,"purple grackle, Quiscalus quiscu","pink, yellow, blue, bright, shad"
n01574801,"rusty blackbird, rusty grackle, ","greer, kd97, bdb94, http://www.m"
n01575117,cowbird,"cowbirds, +.44, mangxamba, brown"
n01575401,"red-winged blackbird, redwing, A","+.44, mangxamba, fairywren, gras"
n01575745,"Old World oriole, oriole",
n01576076,"golden oriole, Oriolus oriolus","http://www.nwguild.org, k978-1, "
n01576695,starling,"clarice, em96, kd97, bb94, k587-"
n01577035,"common starling, Sturnus vulgari","example, commonly, particular, i"
n01577659,"myna, mynah, mina, minah, myna b","mynas, mirosternus, xyletobius, "
